1,43
2,1
2,3
4,80
4,121
4,77
5,20
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,22
6,23
9,2
10,16
10,18
10,22
10,15
11,13
11,14
12,5
13,22
14,60
14,22
15,9
15,2
16,74
16,5
16,77
16,7
17,2
17,37
17,22
18,32
18,34
18,36
18,38
18,40
18,42
18,44
18,16
18,18
18,20
18,22
18,24
18,26
18,28
18,30
20,16
20,11
20,20
21,8
21,6
21,7
22,2
23,2
23,3
23,6
23,7
23,24
23,27
24,11
25,8
25,16
25,17
25,15
26,29
27,21
27,22
28,26
29,7
32,14
34,34
35,32
35,34
35,23
36,64
37,9
37,7
38,18
