1,259
1,260
1,69
1,70
2,55
3,200
3,198
4,40
4,41
4,42
4,43
4,18
4,19
5,63
7,96
7,101
7,102
7,103
7,85
7,86
7,92
7,93
7,94
8,35
9,15
10,401
10,407
11,35
14,3
14,4
14,5
14,47
14,48
15,582
15,558
16,22
16,23
16,24
16,25
16,46
16,47
16,48
16,49
16,53
16,54
16,55
16,56
16,77
16,78
16,79
16,80
16,84
16,85
16,86
16,87
18,432
18,434
18,413
18,421
19,137
19,139
20,408
21,37
21,5
21,11
21,14
21,15
21,16
21,17
21,18
21,19
21,20
22,48
22,79
23,80
23,105
23,82
23,79
24,105
24,82
25,74
25,70
26,11
26,30
27,146
29,107
29,108
29,109
29,110
29,114
29,115
29,116
29,117
29,118
29,122
29,125
30,25
32,31
34,46
35,3
35,6
36,160
36,161
36,150
36,151
37,160
37,162
37,163
37,164
37,165
37,154
37,156
37,157
37,158
37,159
38,810
38,812
38,753
38,754
38,755
38,756
38,757
39,57
39,58
40,64
40,66
41,92
42,126
42,127
44,90
44,85
44,86
44,58
44,91
45,1
45,2
45,3
45,4
46,57
46,42
48,43
49,129
49,130
49,136
49,137
49,144
49,115
49,122
49,123
50,43
50,44
50,45
51,67
51,43
52,90
52,84
52,93
53,25
53,26
54,48
54,956
55,98
56,33
56,34
56,35
56,36
56,37
56,38
57,45
58,80
58,60
59,1548
60,20
60,21
60,22
60,23
60,24
60,25
61,7
62,17
62,21
62,22
62,23
63,89
64,65
64,131
64,132
64,68
64,38
64,67
64,133
64,137
64,42
64,138
64,78
64,79
64,91
64,126
65,45
65,46
65,47
65,48
65,49
65,53
66,32
66,96
66,2
66,98
66,4
66,5
66,100
66,71
66,8
66,9
66,72
66,11
66,26
66,27
66,31
67,10
67,11
68,128
68,2
68,3
68,62
68,127
69,40
70,7
71,83
71,172
71,173
71,84
72,21
72,15
73,25
74,58
74,59
74,60
75,67
75,69
76,38
76,39
76,72
76,73
76,42
76,75
76,76
76,41
76,74
76,40
76,47
76,81
77,257
77,616
77,617
77,618
77,619
77,620
77,621
77,623
77,624
77,625
77,626
77,627
77,628
78,42
79,381
79,383
82,18
83,91
83,69
83,95
84,20
84,21
85,25
86,11
86,12
86,13
86,14
87,68
87,69
88,96
88,91
88,92
88,93
88,94
88,95
89,24
89,25
89,26
89,23
90,24
90,25
90,26
90,23
91,76
91,77
92,32
92,33
92,40
92,42
92,43
92,29
92,30
92,31
93,64
93,67
93,68
93,58
93,59
94,70
95,19
95,20
96,53
97,28
97,29
97,30
97,31
99,146
99,147
99,110
99,111
100,41
100,58
100,55
101,86
103,17
105,44
106,34
106,52
106,37
106,47
