Causality,BugID,Bug_Column,Ideal Rank,Ideal Score(ochiai),Flaky Rank,Flaky Score(ochiai),Delta Wasted Effort
1,Bug1,466,2.0,0.9999999944444444,3.0,0.5773502595671215,0.0019305019305019301
1,Bug10,3,2.0,0.9999999875000002,2.0,0.9999999875000002,0.0
1,Bug11,67,4.0,0.9999999995,4.0,0.7071067804794408,0.0
1,Bug14,1616,1.5,0.9999999944444444,1.5,0.7745966666594946,0.0
1,Bug14,494,10.0,0.9999999500000037,129.5,0.44721359102782204,0.05131128848346636
1,Bug14,1678,1316.5,0.0,1482.0,0.0,0.0
1,Bug15,212,1.5,0.9999999980000001,1.5,0.8944271887638477,0.0
1,Bug15,336,2.0,0.9999999500000037,486.5,0.0,0.9974937343358397
1,Bug15,337,400.0,0.0,486.5,0.0,0.0
1,Bug16,35,1.5,0.9999999989795919,1.5,0.935414345858294,0.0
1,Bug16,36,1.5,0.9999999989795919,1.5,0.935414345858294,0.0
1,Bug16,68,1.5,0.9999999875000002,22.5,0.24999999921875,0.11351351351351352
1,Bug17,200,1.0,0.9999999980000001,3.0,0.6324555288713983,0.007220216606498195
1,Bug18,203,2.5,0.9999999986111111,13.5,0.36514837106153014,0.05343511450381679
1,Bug18,45,3.0,0.999999999704142,113.0,0.12403473449379714,0.4198473282442748
1,Bug18,208,1.0,0.999999996875,5.5,0.4472135943819239,0.019083969465648856
1,Bug18,97,2.5,0.9999999989795919,2.5,0.507092552112692,0.0
1,Bug18,100,2.0,0.999999996875,70.0,0.22360679719096194,0.2900763358778626
1,Bug18,101,2.0,0.999999996875,70.0,0.22360679719096194,0.2900763358778626
1,Bug22,33,2.0,0.9999999875000002,79.5,0.2672612409579199,0.6747967479674797
1,Bug22,35,2.0,0.9999999875000002,79.5,0.2672612409579199,0.6747967479674797
1,Bug22,82,1.5,0.9999999944444444,13.5,0.6546536691492779,0.0975609756097561
1,Bug22,66,4.0,0.999999996875,34.0,0.566946708501436,0.2601626016260163
1,Bug22,71,1.5,0.9999999944444444,92.5,0.218217889716426,0.7804878048780487
1,Bug24,13,2.5,0.9999999944444444,2.5,0.5773502595671215,0.0
2,Bug4,1268,8.5,0.9999999944444444,59.5,0.5773502595671215,0.03379152348224514
2,Bug6,11,1.0,0.9999999944444444,2.0,0.5773502595671215,0.03571428571428571
2,Bug8,19,1.5,0.9999999875000002,1.5,0.7071067635088787,0.0
2,Bug10,3,2.0,0.9999999986111111,2.0,0.9999999986111111,0.0
2,Bug11,67,4.0,0.99999999921875,4.0,0.790569414053883,0.0
2,Bug14,1616,2.5,0.9999999875000002,19.5,0.4714045194815747,0.00798175598631699
2,Bug14,494,1.5,0.999999996875,12.5,0.49999999930555555,0.004180919802356519
2,Bug14,1678,1316.5,0.0,1589.5,0.0,0.0
2,Bug15,212,1.5,0.9999999980000001,53.5,0.4472135943819239,0.06516290726817042
2,Bug15,336,2.0,0.9999999944444444,2.0,0.8660254001759995,0.0
2,Bug15,337,15.5,0.9999999500000037,32.0,0.4999999937500001,0.023809523809523808
2,Bug16,35,1.5,0.99999999921875,1.5,0.9428090409273349,0.0
2,Bug16,36,1.5,0.99999999921875,1.5,0.9428090409273349,0.0
2,Bug16,68,1.0,0.9999999875000002,19.0,0.23570225974078735,0.0972972972972973
2,Bug17,200,1.0,0.9999999875000002,1.0,0.9999999875000002,0.0
2,Bug18,203,2.5,0.9999999986111111,25.5,0.33333333287037037,0.0916030534351145
2,Bug18,45,3.0,0.9999999997448981,87.0,0.2182178901061008,0.32061068702290074
2,Bug18,208,1.0,0.9999999875000002,53.5,0.28867513339199985,0.21374045801526717
2,Bug18,97,1.5,0.9999999989795919,2.0,0.46291004933519236,0.003816793893129771
2,Bug18,100,1.5,0.999999996875,101.5,0.20412414480667287,0.416030534351145
2,Bug18,101,1.0,0.9999999944444444,204.0,0.0,1.0
2,Bug22,33,3.5,0.9999999500000037,106.0,0.0,0.959349593495935
2,Bug22,35,3.5,0.9999999500000037,106.0,0.0,0.959349593495935
2,Bug22,82,2.5,0.9999999944444444,37.0,0.4714045194815747,0.2845528455284553
2,Bug22,66,6.0,0.999999996875,16.0,0.6123724344200187,0.08130081300813008
2,Bug22,71,1.5,0.9999999944444444,71.0,0.23570225974078735,0.5772357723577235
2,Bug24,13,2.5,0.9999999944444444,2.5,0.8164965741235879,0.0
2,Bug26,243,1.5,0.999999996875,10.5,0.7071067767671302,0.027522935779816512
3,Bug6,11,1.0,0.9999999944444444,2.0,0.5773502595671215,0.03571428571428571
3,Bug8,19,1.5,0.9999999944444444,1.5,0.5773502595671215,0.0
3,Bug10,3,2.0,0.9999999989795919,2.0,0.9999999989795919,0.0
3,Bug11,67,4.5,0.9999999989795919,5.5,0.6546536691492779,0.005208333333333329
3,Bug14,1616,1316.5,0.0,1569.5,0.0,0.0
3,Bug14,494,2.0,0.9999999980000001,2.0,0.8451542535211534,0.0
3,Bug14,1678,1316.5,0.0,1569.5,0.0,0.0
3,Bug15,212,8.0,0.9999999500000037,453.0,0.0,0.9824561403508771
3,Bug15,336,2.0,0.999999996875,2.0,0.8660254001759995,0.0
3,Bug15,337,6.0,0.9999999500000037,453.0,0.0,0.987468671679198
3,Bug16,35,1.5,0.9999999980000001,1.5,0.9128709276538253,0.0
3,Bug16,36,1.5,0.9999999980000001,1.5,0.9128709276538253,0.0
3,Bug16,68,1.0,0.999999996875,29.0,0.20412414480667287,0.15675675675675677
3,Bug17,200,1.0,0.999999996875,2.0,0.4999999937500001,0.0036101083032490976
3,Bug18,203,2.5,0.9999999986111111,9.5,0.36514837106153014,0.0267175572519084
3,Bug18,45,3.0,0.9999999997448981,177.5,0.0,0.9847328244274809
3,Bug18,208,1.0,0.9999999875000002,15.0,0.31622776443569917,0.0648854961832061
3,Bug18,97,2.5,0.9999999980000001,5.5,0.3999999992,0.011450381679389313
3,Bug18,100,2.0,0.9999999875000002,177.5,0.0,0.9923664122137404
3,Bug18,101,2.0,0.9999999875000002,177.5,0.0,0.9923664122137404
3,Bug22,33,3.5,0.9999999500000037,108.0,0.0,0.959349593495935
3,Bug22,35,3.5,0.9999999500000037,108.0,0.0,0.959349593495935
3,Bug22,82,1.5,0.9999999944444444,68.5,0.23570225974078735,0.5853658536585366
3,Bug22,66,4.5,0.9999999980000001,5.5,0.7302967421230603,0.008130081300813018
3,Bug22,71,1.5,0.9999999875000002,59.0,0.28867513339199985,0.4796747967479675
3,Bug24,13,2.5,0.999999996875,2.5,0.8660254001759995,0.0
4,Bug10,3,2.0,0.9999999989795919,2.0,0.7559289446685813,0.0
4,Bug14,1616,6.0,0.9999999500000037,305.5,0.3333333314814815,0.13074876472824024
4,Bug14,494,8.5,0.9999999500000037,305.5,0.3333333314814815,0.12884834663626
4,Bug14,1678,17.0,0.9999999500000037,1607.0,0.0,0.9878373242113265
4,Bug15,212,1.5,0.9999999980000001,13.5,0.5163977777729963,0.015037593984962405
4,Bug15,336,2.5,0.999999996875,125.0,0.28867513339199985,0.15789473684210525
4,Bug15,337,18.0,0.9999999944444444,469.5,0.0,0.9573934837092732
4,Bug17,200,1.0,0.9999999980000001,1.0,0.9999999980000001,0.0
4,Bug18,203,2.0,0.9999999986111111,10.0,0.5477225565922952,0.03053435114503817
