1,84
1,85
1,88
1,29
1,30
2,29
2,84
2,154
2,155
2,156
2,157
3,130
3,133
3,134
3,138
3,139
3,142
3,146
3,154
3,158
3,164
3,170
3,176
3,93
3,97
3,101
3,105
3,109
3,117
3,121
3,127
4,123
5,277
5,278
5,279
5,280
5,281
5,282
6,320
6,321
6,330
6,331
6,24
6,25
6,26
7,120
8,58
8,60
8,61
8,63
11,8
11,6
11,7
12,385
12,386
12,388
12,87
12,88
12,90
12,59
12,60
12,62
13,220
13,245
13,246
14,61
15,23
17,320
17,321
17,316
17,317
17,318
17,319
18,59
19,267
20,674
20,675
20,484
20,485
20,571
20,572
21,20
21,21
21,22
21,23
21,24
21,25
22,64
23,168
23,169
23,170
23,171
23,172
23,173
23,174
23,175
23,176
23,177
23,178
23,179
23,180
23,181
23,182
23,183
23,184
23,185
23,186
23,187
23,188
23,189
23,190
23,191
23,192
23,193
23,194
23,195
23,196
23,197
23,198
23,199
23,200
23,201
24,71
25,265
25,259
26,128
26,162
26,131
26,137
26,114
26,121
26,155
27,160
27,159
