Causality,BugID,Bug_Column,Rank#1,Rank#2,Rank#3,Rank#4,Rank#5,Rank#6,Rank#7,Rank#8,Rank#9,Rank#10,Rank#11
2,4,1268,58.0,58.0
2,6,11,1.0,1.0
3,6,11,1.0,1.0
2,8,19,1.0,1.0
3,8,19,1.0,1.0
1,10,3,2.0,2.0
2,10,3,2.0,2.0
3,10,3,2.0,2.0
4,10,3,2.0,2.0
5,10,3,2.0,2.0
1,11,67,6.0,6.0
2,11,67,6.0,6.0
3,11,67,8.0,8.0
5,11,67,15.0,7.0
1,14,577,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0
1,14,578,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0
1,14,494,21.0,18.0,185.0,18.0,189.0,18.0,189.0,18.0,189.0,18.0,189.0
1,14,495,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0
1,14,1616,1.0,277.0,1.0,277.0,1.0,277.0,1.0,277.0,1.0,277.0,1.0
1,14,1617,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0
1,14,1689,5.0,2.0,169.0,173.0,5.0,21.0,169.0,173.0,5.0,21.0,169.0
1,14,1690,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0
2,14,577,15.0,15.0
2,14,578,2113.0,2113.0
2,14,494,12.0,12.0
2,14,495,554.0,554.0
2,14,1616,16.0,16.0
2,14,1617,2113.0,2113.0
2,14,1689,16.0,16.0
2,14,1690,2113.0,2113.0
3,14,577,221.0,124.0,221.0
3,14,578,1877.0,1877.0,1877.0
3,14,494,2.0,254.0,2.0
3,14,495,1877.0,1877.0,1877.0
3,14,1616,1877.0,1877.0,1877.0
3,14,1617,1877.0,1877.0,1877.0
3,14,1689,223.0,6.0,403.0
3,14,1690,1877.0,1877.0,1877.0
4,14,577,3.0,381.0
4,14,578,2045.0,2045.0
4,14,494,267.0,15.0
4,14,495,2045.0,2045.0
